Please note: You can only download a maximum of 500 vehicles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lot No,Location,Event date,Event type,Simulcast vehicle?,Manufacturer,Model,Derivative,Reg Date,Reg No.,Engine,Body,Colour (Trim),Odometer,Odometer unit,Odometer warranted,Fuel,Trans,VAT,V5,Vehicle Grade,MOT Expiry,Number of Keepers,Services,Date of last Service (odometer),Vendor,Buy Now Price,CAP Clean,CAP Average,MMP,MMP Av.,MMP Av.,Glass Trade,Specification
,Bristol,28/11/2016,"Buy Now,Physical Auction,Simulcast",Yes,AUDI,Q5,3.0 TDI QUATTRO S LINE 5DR S T,09/01/2013,OY62ZPR,3.0L,5 Door ESTATE,SILVER(BLACK),"62,703",Miles,w,Diesel,Semi-automatic,Margin,"Yes, with Manheim",1,03/08/2017,2,5,23/05/2016,Marshall Motor Group,"œ19,250","œ20,350","œ19,550",?,?,?,"œ19,350","Air Conditioning, Auto Climate Control, Automatic Lights, Cruise Control, Dual Zone Climate, Front Parking Sensors, Heated Seats, Leather Trim, Radio CD, Rear Parking Sensors, Traction Control"
2304,Wimbledon,25/11/2016,"Physical Auction,Simulcast",Yes,HONDA,CR-V,2.0 VTEC EX 5DR,01/08/2008,HW08DXE,2.0L,5 Door ESTATE,SILVER(BLACK),"46,785",Miles,w,Petrol,Manual,Margin,"Yes, with Manheim",2,29/09/2017,3,6,24/04/2015,Jacksons,-,"œ7,325","œ6,850",?,?,?,?,"Air Conditioning, Electric Sun Roof, Front Parking Sensors, Privacy Glass, Radio CD, Rear Parking Sensors, Sat Nav Inoperative"
543,Birmingham,25/11/2016,"Physical Auction,Simulcast",Yes,LAND ROVER,DISCOVERY,2.5 TD5 ES 5DR AUTO,31/01/2003,SL52EPN,2.5L,5 Door STATION WA,BLACK(BLACK),"147,667",Miles,w,Diesel,Automatic,Margin,No,Unclassified,,7,6,07/06/2006,Arnold Clark,-,"œ2,425","œ2,175",?,?,?,?,"7 Seats, Auto Climate Control, Heated Seats, Leather Trim, Sunroof"
502,Washington,25/11/2016,"Physical Auction,Simulcast",Yes,VOLKSWAGEN,GOLF,1.6 SE FSI 5DR,29/12/2005,AD55BYR,1.6L,5 Door HATCHBACK,BLACK(GREY),"86,794",Miles,w,Petrol,Manual,Margin,"Yes, with Manheim",5,02/03/2017,6,6,10/03/2012,Dealer Direct,-,"œ1,750","œ1,550",?,?,?,?,"Air Conditioning, Automatic Lights, Cruise Control, Radio CD, Traction Control"
1262,Leeds,25/11/2016,"Physical Auction,Simulcast",Yes,VOLKSWAGEN,GOLF,1.9 GT TDI 3DR,30/10/1998,S323FWW,1.9L,3 Door HATCHBACK,SILVER(BLUE),"133,490",Miles,w,Diesel,Manual,Margin,"Yes, with Manheim",Unclassified,31/08/2017,7,5,30/04/2003,Pentagon Group,-,œ330,œ160,?,?,?,œ300,
,Bristol,28/11/2016,"Buy Now,Physical Auction,Simulcast",Yes,VOLKSWAGEN,GOLF,1.6 TDI 105 SE 5DR,17/11/2009,GF59YUN,1.6L,5 Door HATCHBACK,RED(GREY),"101,236",Miles,w,Diesel,Manual,Margin,"Yes, with Manheim",3,30/09/2017,2,,,Sinclair Group,"œ3,500","œ4,125","œ3,825","œ6,100",3,"49,510","œ3,450","Air Conditioning, Automatic Lights, Aux In, Radio CD, Traction Control"
1111,Wimbledon,25/11/2016,"Physical Auction,Simulcast",Yes,MERCEDES-BENZ,C CLASS,C220 CDI BLUEEFFICIENCY SPORT,29/10/2010,KP60KLF,2.1L,4 Door SALOON,WHITE(BLACK),"68,749",Miles,w,Diesel,Automatic,Margin,No,3,30/12/2016,2,6,10/05/2016,Sandown Mercedes-Benz,-,"œ8,425","œ7,900",?,?,?,?,"Air Conditioning, Front Parking Sensors, Heated Seats, Radio CD, Rear Parking Sensors"
578,Mansfield,25/11/2016,"Physical Auction,Simulcast",Yes,HONDA,ACCORD,2.2 DTEC ES GT 5DR,29/05/2009,KP09TKC,2.2L,5 Door ESTATE,BLUE(Black),"141,157",Miles,w,Diesel,Manual,Margin,"Yes, with Manheim",3,27/03/2017,2,10,16/08/2016,Marshall Motor Group,-,"œ3,800","œ3,475",?,?,?,"œ2,975","6 Speed, Air Conditioning, Auto Climate Control, Aux In, Cruise Control, Dual Zone Climate, Ipod Connectivity, Leather Trim, Media Connectivity, Radio CD"
,Bristol,29/11/2016,"Buy Now,Physical Auction,Simulcast",Yes,VOLKSWAGEN,GOLF,2.0 TDI 170 GTD 5DR [LEATHER],28/09/2012,AF62VVD,2.0L,5 Door HATCHBACK,GREY(BLACK),"95,241",Miles,w,Diesel,Manual,Qualifying,"Yes, with Manheim",3,,1,4,27/09/2016,ALD Automotive,"œ9,250","œ9,250","œ8,650",?,?,?,?,"6 Speed, Air Conditioning, Auto Climate Control, Automatic Lights, Automatic Wipers, Aux In, Bluetooth, DAB, Dual Zone Climate, Heated Seats, Ipod Connectivity, Leather Trim, Media Connectivity, Privacy Glass, Radio CD, Traction Control"
606,Mansfield,25/11/2016,"Physical Auction,Simulcast",Yes,MERCEDES-BENZ,C CLASS,C220 CDI BLUEEFFICIENCY SPORT,03/11/2009,KV59KTU,2.1L,4 Door SALOON,BLACK(BLACK),"54,243",Miles,w,Diesel,Automatic,Margin,"Yes, with Manheim",4,,3,1,08/12/2010,Marshall Motor Group,-,"œ8,550","œ8,050",?,?,?,"œ8,400","Cruise Control, Automatic Lights, Air Conditioning, Auto Climate Control, Bluetooth, Dual Zone Climate, Radio CD, Rear Parking Sensors, Traction Control"
,Bristol,28/11/2016,"Buy Now,Physical Auction,Simulcast",Yes,BMW,3 SERIES,330D M SPORT 2DR STEP AUTO,15/04/2011,RO11UHD,3.0L,2 Door COUPE,GREY(Black),"123,607",Miles,w,Diesel,Semi-automatic,Margin,"Yes, with Manheim",3,15/04/2017,2,7,10/04/2015,Marshall Motor Group,"œ9,291","œ8,925","œ8,375",?,?,?,?,"Dual Zone Climate, Aux In, Automatic Lights, Air Conditioning, Heated Seats, Front Parking Sensors, Sat Nav Functioning, Radio CD"
550,Mansfield,25/11/2016,"Physical Auction,Simulcast",Yes,LAND ROVER,RANGE ROVER SPORT,2.7 TDV6 SE 5DR AUTO,01/02/2008,AD57CHN,2.7L,5 Door ESTATE,GREY(BLACK),"150,131",Miles,w,Diesel,Automatic,Margin,"Yes, with Manheim",3,01/02/2017,2,12,22/09/2016,Marshall Motor Group,-,"œ7,975","œ7,450",?,?,?,"œ6,800","Automatic Lights, Auto Climate Control, Heated Seats, Leather Trim, Cruise Control, Radio CD, Sat Nav Functioning"
,Shepshed,28/11/2016,"Buy Now,Physical Auction,Simulcast",Yes,NISSAN,NAVARA DIESEL,DOUBLE CAB PICK UP ACENTA 2.5D,11/07/2012,R12AEG,2.5L,4 Door PICK UP BODY,WHITE(Grey),"45,659",Miles,w,Diesel,Manual,Commercial,No,,,2,,,MotoNovo Finance,"œ7,500","œ8,575","œ7,775",?,?,?,?,"Airbag - Driver, Air Conditioning, Alloy Wheels, Bluetooth, Cruise Control, Electric Mirrors, Electric Windows, Airbag - Passenger, Parking sensors - Rear, Seats - Fabric/All, Traction Control, Towbar"
,Bristol,29/11/2016,"Buy Now,Physical Auction,Simulcast",Yes,VOLKSWAGEN,GOLF,2.0 TDI 140 BLUEMOTION TECH MA,13/01/2012,AK61UTB,2.0L,5 Door HATCHBACK,BLACK(GREY),"77,582",Miles,,Diesel,Manual,Margin,No,3,,3,3,27/01/2016,Barclays,"œ5,534","œ6,250","œ5,825",?,?,?,?,"Air Conditioning, Automatic Lights, Aux In, Bluetooth, Cruise Control, DAB, Front Parking Sensors, Media Connectivity, Radio CD, Rear Parking Sensors, Traction Control, 6 Speed, Ipod Connectivity"
,Bristol,28/11/2016,"Buy Now,Physical Auction,Simulcast",Yes,AUDI,A4,2.0 TDI 143 SE 5DR MTRONIC,01/09/2009,FY59HHP,2.0L,5 Door ESTATE,GREY(GREY),"82,308",Miles,w,Diesel,Semi-automatic,Margin,"Yes, with Manheim",4,19/12/2016,5,4,08/12/2015,Marshall Motor Group,"œ5,500","œ6,050","œ5,625",?,?,?,?,"Air Conditioning, Automatic Lights, Aux In, Cruise Control, Radio CD, Rear Parking Sensors, Traction Control"
1130,Wimbledon,25/11/2016,"Physical Auction,Simulcast",Yes,NISSAN,NAVARA DIESEL,DOUBLE CAB PICK UP AVENTURA 2.,30/11/2006,NG56OKZ,2.5L,PICK UP BODY,BLACK(BLACK),"136,598",Miles,w,Diesel,Manual,Margin,No,,03/06/2017,7,5,10/09/2015,Sandown Mercedes-Benz,-,"œ4,600","œ3,775",?,?,?,?,"Airbag - Driver, Air Conditioning, Automatic Lights, Automatic Wipers, Alloy Wheels, Cruise Control, Electric Windows, Heated Seats, Sunroof"
1131,Wimbledon,25/11/2016,"Physical Auction,Simulcast",Yes,MERCEDES-BENZ,M CLASS,ML420 CDI SPORT 5DR TIP AUTO,01/09/2007,HD57MJX,4.0L,5 Door STATION WA,BLUE(BLACK),"124,857",Miles,w,Diesel,Semi-automatic,Margin,"Yes, with Manheim",4,02/09/2017,1,9,11/01/2016,Sandown Mercedes-Benz,-,"œ7,275","œ6,800",?,?,?,"œ7,475","Air Conditioning, Automatic Lights, Heated Seats, Radio CD"
2301,Wimbledon,25/11/2016,"Physical Auction,Simulcast",Yes,MERCEDES-BENZ,M CLASS,ML420 CDI SPORT 5DR TIP AUTO,31/01/2008,BW57DTF,4.0L,5 Door STATION WA,SILVER(GREY),"55,413",Miles,w,Diesel,Semi-automatic,Margin,"Yes, with Manheim",3,17/10/2017,3,,,Jacksons,-,"œ12,300","œ11,650",?,?,?,?,"Air Conditioning, Front Parking Sensors, Privacy Glass, Radio CD, Rear Parking Sensors"
,Manchester,01/12/2016,"Buy Now,Physical Auction,Simulcast",Yes,BMW,3 SERIES,320D EFFICIENTDYNAMICS 5DR STE,26/07/2013,LC13SKN,2.0L,5 Door ESTATE,RED(BLACK),"80,210",Miles,w,Diesel,Semi-automatic,Qualifying,"Yes, with Manheim",4,26/07/2017,1,,,Hitachi Capital,"œ11,000","œ11,050","œ10,450",?,?,?,?,"Air Conditioning, Auto Climate Control, Automatic Lights, Automatic Wipers, Aux In, Bluetooth, Cruise Control, DAB, Dual Zone Climate, Heated Seats, Leather Trim, Media Connectivity, Radio CD, Rear Parking Sensors, Traction Control"
,Mansfield,02/12/2016,"Physical Auction,Simulcast",Yes,TOYOTA,HILUX DIESEL,INVINCIBLE 2010 D/CAB PICKUP 3,14/10/2011,N60KRM,3.0L,4 Door PICK UP BODY,SILVER(Grey),"88,390",Miles,w,Diesel,Manual,Commercial,"Yes, with Manheim",,,2,1,31/07/2014,Santander Consumer,-,"œ10,200","œ9,125",?,?,?,?,"Airbag - Driver, Air Conditioning, Alloy Wheels, Cruise Control, Electric Mirrors, Electric Windows, Airbag - Passenger, Parking sensors - Rear, Spot/Fog lights, Traction Control, Towbar"
614,Mansfield,25/11/2016,"Physical Auction,Simulcast",Yes,AUDI,A6,2.0TFSI SE 4DR,13/04/2007,MA07EAE,2.0L,4 Door SALOON,BLUE(BLACK),"140,191",Miles,w,Petrol,Manual,Margin,"Yes, with Manheim",5,20/09/2017,4,4,02/08/2010,Marshall Motor Group,-,"œ2,200","œ1,950",?,?,?,"œ1,750","6 Speed, Air Conditioning, Auto Climate Control, Automatic Lights, Cruise Control, Dual Zone Climate, Heated Seats, Radio CD, Rear Parking Sensors, Sat Nav Functioning, Traction Control"
,Mansfield,02/12/2016,"Physical Auction,Simulcast",Yes,TOYOTA,HILUX DIESEL,INVINCIBLE D/CAB PICK UP 3.0 D,15/10/2012,N40KRM,3.0L,5 Door PICK UP BODY,WHITE(Grey),"60,673",Miles,w,Diesel,Manual,Commercial,"Yes, with Manheim",,,2,2,26/01/2015,Santander Consumer,-,"œ12,850","œ11,700",?,?,?,?,"Airbag - Driver, Automatic Lights, Cruise Control, Privacy Glass, Traction Control, Electric Mirrors, Lift - Column Tail, Pick up - body load cover, Seats - Fabric/All, Electric Windows, Towbar, Airbag - Passenger, Alloy Wheels"
1203,Leeds,25/11/2016,"Physical Auction,Simulcast",Yes,MERCEDES-BENZ,E CLASS,E270 CDI AVANTGARDE 4DR TIP AU,13/06/2005,KM05JKY,2.7L,4 Door SALOON,SILVER(BLACK),"97,062",Miles,w,Diesel,Semi-automatic,Margin,"Yes, with Manheim",4,06/07/2017,5,10,02/01/2016,The Car Group,-,"œ2,900","œ2,625",?,?,?,?,"Bluetooth, Leather Trim, Air Conditioning, Automatic Lights, Cruise Control, Dual Zone Climate, Front Parking Sensors, Radio CD, Rear Parking Sensors"
565,Mansfield,25/11/2016,"Physical Auction,Simulcast",Yes,HONDA,CIVIC,1.8 VTEC TYPE S GT 3DR SHIFT A,05/03/2007,RE07TVL,1.8L,3 Door HATCHBACK,BLUE(Black),"106,690",Miles,w,Petrol,Semi-automatic,Margin,"Yes, with Manheim",3,02/09/2017,3,10,08/12/2015,Marshall Motor Group,-,"œ2,550","œ2,300",?,?,?,?,"Air Conditioning, Auto Climate Control, Automatic Lights, Automatic Wipers, Cruise Control, Dual Zone Climate, Electric Sun Roof, Radio CD, Rear Parking Sensors, Traction Control"
648,Birmingham,25/11/2016,"Physical Auction,Simulcast",Yes,VOLKSWAGEN,GOLF,1.6 TDI 105 BLUEMOTION SE 5DR,25/05/2010,OU10JVT,1.6L,5 Door HATCHBACK,BLACK(BLACK),"97,910",Miles,w,Diesel,Manual,Margin,"Yes, with Manheim",3,25/01/2017,2,4,20/04/2016,W R Davies,-,"œ4,475","œ4,175",?,?,?,"œ3,475","Air Conditioning, Automatic Lights, Cruise Control, Radio CD, Traction Control"
,Manchester,01/12/2016,"Buy Now,Physical Auction,Simulcast",Yes,MERCEDES-BENZ,E CLASS,E250 CDI BLUEEFFICIENCY SE 5DR,27/07/2012,RJ12OMV,2.1L,5 Door ESTATE,BLUE(BLACK),"131,020",Miles,w,Diesel,Semi-automatic,Margin,"Yes, with Manheim",3,27/07/2017,1,6,04/10/2016,Hitachi Capital,"œ9,200","œ9,250","œ8,675",?,?,?,?,"Air Conditioning, Auto Climate Control, Automatic Lights, Aux In, Bluetooth, Cruise Control, Dual Zone Climate, Front Parking Sensors, Heated Seats, Leather Trim, Media Connectivity, Radio CD, Rear Parking Sensors"
,Colchester,29/11/2016,"Buy Now,Physical Auction,Simulcast",Yes,MERCEDES-BENZ,S CLASS,S320L CDI 4DR AUTO,11/03/2008,YK08WSO,3.0L,4 Door SALOON,BLUE(Black),"110,625",Miles,w,Diesel,Semi-automatic,Margin,"Yes, with Manheim",3,10/01/2017,3,4,09/02/2016,The Car Group,"œ7,500","œ8,125","œ7,600",?,?,?,"œ6,650","Air Conditioning, Auto Climate Control, Cruise Control, Dual Zone Climate, Electric Sun Roof, Front Parking Sensors, Heated Seats, Radio CD, Rear Parking Sensors, Sat Nav Functioning, Traction Control"
,Manchester,01/12/2016,"Buy Now,Physical Auction,Simulcast",Yes,VOLKSWAGEN,PASSAT,2.0 TDI 170 BLUEMOTION TECH SP,05/11/2012,DE62VYC,2.0L,5 Door ESTATE,RED(BLACK),"94,303",Miles,w,Diesel,Manual,Qualifying,"Yes, with Manheim",2,04/11/2017,1,1,29/05/2015,Hitachi Capital,"œ7,500","œ7,600","œ7,125",?,?,?,?,"Air Conditioning, Auto Climate Control, Automatic Lights, Aux In, Bluetooth, Cruise Control, DAB, Dual Zone Climate, Front Parking Sensors, Heated Seats, Leather Trim, Media Connectivity, Privacy Glass, Park Assist, Radio CD, Sat Nav Functioning, Traction Control, 6 Speed"
,Bristol,28/11/2016,"Buy Now,Physical Auction,Simulcast",Yes,LAND ROVER,DISCOVERY,2.7 TD V6 SE 5DR AUTO,14/02/2006,NK55XWV,2.7L,5 Door STATION WA,GREEN(BEIGE),"112,569",Miles,w,Diesel,Automatic,Margin,No,4,,2,,,Dick Lovett LTD,"œ6,550","œ6,825","œ6,350",?,?,?,?,"Automatic Lights, Heated Seats, Leather Trim, Radio CD, Rear Parking Sensors"
2065,Wimbledon,25/11/2016,"Physical Auction,Simulcast",Yes,MERCEDES-BENZ,E CLASS,E320 CDI AVANTGARDE 4DR TIP AU,10/01/2005,OE54EUP,3.2L,4 Door SALOON,BLUE(BLACK),"136,013",Miles,w,Diesel,Semi-automatic,Margin,"Yes, with Manheim",5,,3,6,13/12/2011,Money 4 Your Motors LTD,-,"œ2,400","œ2,150",?,?,?,"œ1,850","Air Conditioning, Auto Climate Control, Automatic Lights, Cruise Control, Dual Zone Climate, Front Parking Sensors, Heated Front Screen, Radio CD, Rear Parking Sensors, Traction Control"
502,Mansfield,25/11/2016,"Physical Auction,Simulcast",Yes,MERCEDES-BENZ,C CLASS,C200K CLASSIC SE 4DR AUTO,30/06/2003,CN03YWY,1.8L,4 Door SALOON,ORANGE(GREY),"54,431",Miles,w,Petrol,Automatic,Margin,"Yes, with Manheim",4,08/12/2016,2,3,04/12/2014,Marshall Motor Group,-,"œ1,150",œ950,?,?,?,"œ1,525","Air Conditioning, Auto Climate Control, Automatic Lights, Cruise Control, Dual Zone Climate, Radio CD"
1208,Leeds,25/11/2016,"Physical Auction,Simulcast",Yes,BMW,3 SERIES,318D M SPORT 4DR STEP AUTO,09/07/2009,YF09LRZ,2.0L,4 Door SALOON,BLACK(Black),"93,570",Miles,w,Diesel,Semi-automatic,Margin,"Yes, with Manheim",4,30/11/2016,6,6,02/11/2016,The Car Group,-,"œ5,900","œ5,525",?,?,?,"œ5,200","Bluetooth, Air Conditioning, Aux In, Radio CD, Rear Parking Sensors"
598,Mansfield,25/11/2016,"Physical Auction,Simulcast",Yes,BMW,3 SERIES,320D EFFICIENTDYNAMICS 4DR,07/06/2011,YE11UWR,2.0L,4 Door SALOON,BLACK(Grey),"46,682",Miles,w,Diesel,Manual,Margin,"Yes, with Manheim",4,17/04/2017,2,3,27/07/2016,Marshall Motor Group,-,"œ7,750","œ7,275",?,?,?,"œ7,450","6 Speed, Air Conditioning, Auto Climate Control, Radio CD, Rear Parking Sensors"
,Bristol,28/11/2016,"Buy Now,Physical Auction,Simulcast",Yes,BMW,3 SERIES,320I SE 4DR,01/03/2008,RO08FKL,2.0L,4 Door SALOON,BLUE(Black),"80,326",Miles,w,Petrol,Manual,Margin,"Yes, with Manheim",4,24/06/2017,3,3,13/06/2012,Marshall Motor Group,"œ3,350","œ4,475","œ4,150",?,?,?,?,"6 Speed, Radio CD"
2054,Wimbledon,25/11/2016,"Physical Auction,Simulcast",Yes,BMW,3 SERIES,318 CI 2DR,21/02/2003,RN52WGJ,2.0L,2 Door CONVERTIBL,SILVER(BLACK),"103,548",Miles,w,Petrol,Manual,Margin,"Yes, with Manheim",4,14/07/2017,7,,,Money 4 Your Motors LTD,-,"œ1,475","œ1,275",?,?,?,?,"Air Conditioning, Auto Climate Control, Aux In, Cruise Control, Heated Front Screen, Leather Trim, Radio CD, Rear Parking Sensors, Traction Control"
,Haydock,29/11/2016,"Buy Now,Physical Auction,Simulcast",Yes,MERCEDES-BENZ,SPRINTER 313CDI LONG DIESEL,3.5T DROPSIDE,01/03/2013,KU13UKO,2.1L,DROPSIDE BODY,WHITE(BLACK),"166,834",Miles,w,Diesel,Manual,Commercial,"Yes, with Manheim",,06/01/2017,1,13,27/06/2016,Vanmonster,"œ6,800","œ7,675","œ7,100",?,?,?,?,"Airbag - Driver, Electric Windows, Seats - Fabric/All"
554,Mansfield,25/11/2016,"Physical Auction,Simulcast",Yes,MERCEDES-BENZ,C CLASS,C180K BLUEEFFICIENCY SE 4DR,29/06/2009,YF09AOX,1.6L,4 Door SALOON,SILVER(Black),"178,646",Miles,w,Petrol,Manual,Margin,"Yes, with Manheim",3,23/05/2017,4,,,Marshall Motor Group,-,"œ3,025","œ2,750",?,?,?,"œ2,425","6 Speed, Air Conditioning, Auto Climate Control, Automatic Lights, Radio CD"
529,Mansfield,25/11/2016,"Physical Auction,Simulcast",Yes,BMW,3 SERIES,320D [184] M SPORT 4DR,21/05/2010,YE10CYG,2.0L,4 Door SALOON,GREY(Black),"113,547",Miles,w,Diesel,Manual,Margin,"Yes, with Manheim",4,02/12/2016,3,,,Marshall Motor Group,-,"œ5,625","œ5,275",?,?,?,"œ5,025","6 Speed, Air Conditioning, Auto Climate Control, Aux In, Cruise Control, Radio CD, Traction Control"
1195,Leeds,25/11/2016,"Physical Auction,Simulcast",Yes,BMW,3 SERIES,320I SE 2DR,06/05/2008,MH08EZJ,2.0L,2 Door COUPE,SILVER(Black),"48,249",Miles,w,Petrol,Manual,Margin,"Yes, with Manheim",5,02/07/2017,2,3,31/07/2013,The Car Group,-,"œ5,375","œ5,000",?,?,?,"œ5,300","6 Speed, Auto Climate Control, Automatic Lights, Automatic Wipers, Aux In, Radio CD, Air Conditioning, Cruise Control, Rear Parking Sensors"
573,Mansfield,25/11/2016,"Physical Auction,Simulcast",Yes,BMW,3 SERIES,330I M SPORT 4DR AUTO,15/06/2006,LS06ZSO,3.0L,4 Door SALOON,GREY(Black),"92,409",Miles,w,Petrol,Automatic,Margin,"Yes, with Manheim",5,30/06/2017,4,3,30/06/2016,Marshall Motor Group,-,"œ3,850","œ3,550",?,?,?,"œ3,900","Air Conditioning, Auto Climate Control, Automatic Lights, Cruise Control, Dual Zone Climate, Heated Seats, Radio CD, Rear Parking Sensors, Traction Control"
590,Mansfield,25/11/2016,"Physical Auction,Simulcast",Yes,BMW,5 SERIES,520D M SPORT 5DR STEP AUTO [ST,18/04/2012,KN12WMT,2.0L,5 Door ESTATE,BLACK(Cream),"70,375",Miles,w,Diesel,Semi-automatic,Margin,"Yes, with Manheim",3,18/04/2017,2,4,08/01/2015,Marshall Motor Group,-,"œ13,000","œ12,350",?,?,?,"œ12,875","Air Conditioning, Auto Climate Control, Automatic Lights, Automatic Wipers, Aux In, Bluetooth, Cruise Control, Dual Zone Climate, Front Parking Sensors, Heated Seats, Media Connectivity, Radio CD, Rear Parking Sensors, Sat Nav Functioning, Traction Control"
547,Mansfield,25/11/2016,"Physical Auction,Simulcast",Yes,AUDI,A4,2.0 TDI TDV SE 5DR MTRONIC,18/01/2008,BP57OGR,2.0L,5 Door ESTATE,BLUE(Black),"110,133",Miles,w,Diesel,Semi-automatic,Margin,"Yes, with Manheim",3,09/05/2017,2,1,01/10/2014,Marshall Motor Group,-,"œ3,000","œ2,750",?,?,?,?,"Radio CD, Auto Climate Control, Automatic Lights, Cruise Control, Dual Zone Climate, Electric Sun Roof, Front Parking Sensors, Rear Parking Sensors"
489,Mansfield,25/11/2016,"Physical Auction,Simulcast",Yes,HONDA,CIVIC,1.6 VTEC SPORT 3DR,01/03/2004,RO04UNB,1.6L,3 Door HATCHBACK,RED(Black),"119,172",Miles,w,Petrol,Manual,Margin,"Yes, with Manheim",5,01/03/2017,3,12,05/02/2016,Marshall Motor Group,-,œ660,œ480,?,?,?,œ500,"Air Conditioning, Auto Climate Control, Aux In, Radio CD, Traction Control"
497,Mansfield,25/11/2016,"Physical Auction,Simulcast",Yes,HONDA,CIVIC,1.6 VTEC SE 3DR,20/06/2005,WF05XEU,1.6L,3 Door HATCHBACK,BLACK(Black),"148,278",Miles,w,Petrol,Manual,Margin,"Yes, with Manheim",4,20/06/2017,3,6,13/07/2010,Marshall Motor Group,-,œ520,œ350,?,?,?,œ400,"Radio CD, Air Conditioning"
435,Mansfield,25/11/2016,"Physical Auction,Simulcast",Yes,VOLKSWAGEN,PASSAT,2.0 SPORT TDI 4DR,21/12/2006,KS56ETV,2.0L,4 Door SALOON,SILVER(Black),"91,299",Miles,,Diesel,Manual,Margin,"Yes, with Manheim",3,26/11/2016,4,8,17/11/2015,Pentagon Group,-,"œ2,250","œ2,025",?,?,?,?,"6 Speed, Auto Climate Control, Dual Zone Climate, Automatic Lights, Radio CD"
548,Mansfield,25/11/2016,"Physical Auction,Simulcast",Yes,MERCEDES-BENZ,M CLASS,ML320 CDI SPORT 5DR TIP AUTO,31/01/2008,BL57RLY,3.0L,5 Door STATION WA,BLACK(Black),"82,496",Miles,w,Diesel,Semi-automatic,Margin,"Yes, with Manheim",3,01/02/2017,2,,,Marshall Motor Group,-,"œ8,775","œ8,225",?,?,?,"œ9,125","Rear Parking Sensors, Sat Nav Functioning, Radio CD, Traction Control, Bluetooth, Aux In, Front Parking Sensors, Heated Seats, Cruise Control, Auto Climate Control, Air Conditioning, Automatic Lights"
,Bristol,28/11/2016,"Buy Now,Physical Auction,Simulcast",Yes,BMW,3 SERIES,320D EFFICIENTDYNAMICS 4DR STE,23/12/2013,AK63ODT,2.0L,4 Door SALOON,BLACK(BLACK),"80,381",Miles,w,Diesel,Semi-automatic,Margin,"Yes, with Manheim",3,,2,,,Marshall Motor Group,"œ10,000","œ10,650","œ10,050",?,?,?,?,"Air Conditioning, Auto Climate Control, Automatic Lights, Automatic Wipers, Aux In, Cruise Control, Dual Zone Climate, Radio CD, Rear Parking Sensors, Traction Control"
,Colchester,30/11/2016,"Buy Now,Physical Auction,Simulcast",Yes,MERCEDES-BENZ,SPRINTER 313CDI LONG DIESEL,3.5T DROPSIDE,13/01/2014,KV63VYU,2.1L,2 Door DROPSIDE BODY,WHITE(BLACK),"54,386",Miles,w,Diesel,Manual,Commercial,"Yes, with Manheim",,25/10/2017,1,3,25/10/2016,Vanmonster,"œ11,800","œ12,400","œ11,750",?,?,?,?,"Airbag - Driver, Electric Windows, Towbar"
,Colchester,30/11/2016,"Buy Now,Physical Auction,Simulcast",Yes,MERCEDES-BENZ,SPRINTER 313CDI LONG DIESEL,3.5T HIGH ROOF VAN,24/07/2014,KW14VGU,2.1L,5 Door PANEL VAN,WHITE(GREY),"92,856",Miles,w,Diesel,Manual,Commercial,"Yes, with Manheim",,,1,4,07/09/2016,Vanmonster,"œ10,100","œ10,500","œ9,950",?,?,?,?,"Airbag - Driver, Door - Double Rear Barn, Seats - Fabric/All, Door - Nearside Sliding Loading Door"
,Colchester,30/11/2016,"Buy Now,Physical Auction,Simulcast",Yes,MERCEDES-BENZ,SPRINTER 313CDI LONG DIESEL,3.5T HIGH ROOF VAN,24/11/2014,KR64FBK,2.1L,5 Door PANEL VAN,WHITE(BLACK),"68,123",Miles,w,Diesel,Manual,Commercial,"Yes, with Manheim",,,1,3,05/02/2016,Vanmonster,"œ11,100","œ11,800","œ11,150",?,?,?,?,"Airbag - Driver, Electric Windows, Door - Nearside Sliding Loading Door, Traction Control"
,Colchester,30/11/2016,"Buy Now,Physical Auction,Simulcast",Yes,MERCEDES-BENZ,SPRINTER 313CDI MEDIUM DIESEL,3.5T HIGH ROOF VAN,01/05/2014,KV14XTL,2.1L,5 Door PANEL VAN,WHITE(BLACK),"76,761",Miles,w,Diesel,Manual,Commercial,"Yes, with Manheim",,,1,2,19/12/2015,Vanmonster,"œ9,500","œ10,300","œ9,725",?,?,?,?,"Airbag - Driver, Electric Windows, Ply Lining, Door - Nearside Sliding Loading Door, Traction Control"
551,Mansfield,25/11/2016,"Physical Auction,Simulcast",Yes,MERCEDES-BENZ,E CLASS,E280 CDI AVANTGARDE 4DR TIP AU,18/07/2007,BL07EFZ,3.0L,4 Door SALOON,SILVER(BLACK),"64,253",Miles,w,Diesel,Semi-automatic,Margin,"Yes, with Manheim",4,10/01/2017,4,4,11/01/2016,Marshall Motor Group,-,"œ5,125","œ4,750",?,?,?,"œ5,075","Automatic Lights, Air Conditioning, Auto Climate Control, Dual Zone Climate, Front Parking Sensors, Cruise Control, Traction Control, Radio CD, Rear Parking Sensors"
